Destino,Departamento,Grado de Dificultad,Características,Costos Principales,Opciones de Alojamiento,Opciones de comer,Contacto Principal,Acceso / Ubicación,Coordenadas GPS,Sitio Web,Popularidad,
18 de Julio (Pueblo),Rocha,Fácil,Tranquila localidad histórica vecina al Fuerte de San Miguel con casas antiguas.,Acceso libre.,Alojamiento disponible en Chuy ($$),Comedores de minutas locales ($),Tel: +598 4474 2011,"Ruta 19, a 9 km de la frontera","-33.683342, -53.555297",rocha.gub.uy,Emergente,
25 de Mayo (Pueblo),Florida,Fácil,"Pintoresca localidad rural y ferroviaria, reconocida por su tranquilidad y la calidez de sus artesanos locales.",Acceso libre.,Casas de veraneo familiares ($$),"Almacén El Ombú ($), Comidas caseras ($)",Tel: +598 4350 2011,"Ruta 76, a 16 km de Florida Capital","-34.193588, -56.339814",florida.gub.uy,Moderada,
Abra de Zabaleta,Lavalleja,Moderado,Impresionante paso serrano natural ubicado en las estribaciones de la Ruta 12. Ofrece uno de los puntos de observación paisajística y fotográfica panorámica más impactantes del departamento.,Acceso libre por carretera. Mirador gratuito.,"Plaza Minas ($$), Cerro Místico Hotel de Campo ($$$), San Francisco de las Sierras ($$), Valle De Domos ($$$), Villa Blanca (Villa Serrana, $$)","Parador Don Miguel (Ruta 12, $$), Hontou Centro (Minas, $$), Parador La Rambla (Minas, $$), Alfajores de Minas (Minas, $)",Tel: +598 4442 2201 | Correo: turismo@lavalleja.gub.uy,"Ruta 12, km 355 (Tramo panorámico sinuoso que conecta Minas con Punta del Este).","-34.518830, -55.325910",turismo.lavalleja.gub.uy,Emergente,
Aceguá,Cerro Largo,Fácil,"Localidad binacional fronteriza situada en pleno cruce de la Sierra de Aceguá. Atractivo paseo de compras tradicional de frontera, fuerte identidad gauchesca y hermosas vistas de los cerros testigo.",Acceso libre.,"El Oppidum (Feliciano Viera 71, $), Casa Florida (Apartamento turístico, $$), Sanabria (Albergue, $), Cabañas Tres Marinas (Hospedaje, $$), Hotel Crown (Frontera, $$)","Restaurant & Parrilla Galpón de Piedra ($$), Restaurant Vitom ($$), Restaurante Los Crioulos ($$), Le Bistrô ($$)",Tel: +598 4640 8002 | Correo: municipioacegua@cerrolargo.gub.uy,"Ruta 8, km 450 (Extremo norte departamental, límite internacional con Brasil).","-31.870758, -54.163193",cerrolargo.gub.uy,Emergente,
Achar (Pueblo),Tacuarembó,Fácil,"Tranquilo poblado forestal y ganadero del sur del departamento, nacido en torno a la mítica vía férrea.",Acceso libre.,Hospedajes de campaña muy limitados ($),Almacén de Ramos Generales ($),Tel: +598 4632 4671,"Ruta 43, km 15","-32.405012, -56.180092",tacuarembo.gub.uy,Emergente,
Acuario de Colonia,Colonia,Fácil,"Centro educativo e interpretativo subterráneo que exhibe especies de peces nativos de las cuencas fluviales del Uruguay y el Río de la Plata, ideal para familias.",Entrada general: $150 UYU. Menores de 5 años gratis.,"Hotel Leoncia ($$), Radisson Hotel Colonia del Sacramento ($$$), Hotel Royal ($$), Real Colonia Hotel & Suites ($$), Posada Plaza Mayor ($$)","Viejo Barrio (Vasconcellos 169, $$), El Buen Suspiro (Calle de los Suspiros, $$), Charco Bistró (San Pedro 116, $$$), Pulpería Los Faroles (Misiones de los Tapes 101, $$)",Tel: +598 4522 5313 | Correo: acuario.colonia@gmail.com,"Calle Virrey Cevallos 236, Barrio Histórico de Colonia del Sacramento.","-34.469813, -57.850791",colonia.gub.uy,Moderada,
Aero Club Mercedes,Soriano,Fácil,"Instalaciones aeronáuticas que ofrecen vuelos bautismo sobre el Río Negro, la ciudad de Mercedes y las islas flotantes.",Vuelo bautismo de 20 minutos: ~$2000 UYU por persona.,"Gran Hotel Brisas del Hum ($$$), Hotel San Martin ($$)","Parador del Aero Club (Fines de semana, $)",Tel: +598 4532 3812 | Correo: aeroclubmercedes@gmail.com,"Ruta 2, km 272, afueras de Mercedes.","-33.248962, -58.067651",soriano.gub.uy,Emergente,
Afloramiento de Cuarcitas (Geositio),Flores,Fácil,Interesante afloramiento de cuarcitas que expone la antigüedad geológica de la formación del norte.,Acceso libre desde el borde del camino.,Hoteles en Trinidad ($$),No hay opciones específicas ($),Asociación Geólogos de Flores,"Ruta 57, km 30, tramo Trinidad-Cardona","-33.573375, -56.894503",geoparque.uy,Emergente,
Afloramiento Gabro Chamangá,Flores,Fácil,Geositio caracterizado por la presencia de rocas oscuras de origen magmático (gabros) de gran antigüedad e interés para el geoturismo.,Libre acceso dentro del circuito del Geoparque Mundial UNESCO.,"Jardines Inn ($$), Trinidad Inn ($$)",Sin opciones específicas en el geositio; se recomienda buscar servicios en la ciudad de Trinidad.,Oficina de Turismo de Flores: +598 4364 5654,Próximo al área del Paisaje Protegido de Chamangá.,"-33.635140, -56.617740",geoparque.uy,Emergente,
Afloramiento Granítico Chamangá,Flores,Moderado,Extensa área protegida caracterizada por grandes bloques de granito alisado con antiguas expresiones pictóricas.,Acceso libre coordinando guía.,Estancias rurales locales ($$$),Llevar vianda propia ($),Oficina de Turismo de Flores,"Localidad de Chamangá, acceso por Ruta 14","-33.635140, -56.617740",geoparque.uy,Moderada,
